Student ID:6898979
Student name:SALAM JESUTOMIWA
UUID:11066529-8c0e-4b51-9bd9-9ea2d0ff0bdb
==========
Args:Namespace(model_mode='swin_base_patch4_window7_224', dataset_location='./EEEM066_Knife_Classification_dataset', train_datacsv='dataset/train.csv', test_datacsv='dataset/test.csv', saved_checkpoint_path='Knife-Effb0', n_classes=192, num_workers=8, seed=0, resized_img_weight=224, resized_img_height=224, evaluate_only=False, model_path=None, epochs=20, batch_size=32, brightness=0.2, contrast=0.2, saturation=0.2, hue=0.2, random_rotation=0, vertical_flip=0, horizontal_flip=0, random_erase=False, color_aug=False, optim='adam', learning_rate=5e-05, weight_decay=0.0005, momentum=0.9, sgd_dampening=0, sgd_nesterov=False, rmsprop_alpha=0.99, adam_beta1=0.9, adam_beta2=0.999, lr_scheduler='CosineAnnealingLR', stepsize=[20, 40], gamma=0.1)
==========
------------------------- [START 2024-11-26_17-37-39] -------------------------

                           |  Train   |   Valid  |              |
 | Mode  |  Iter  | Epoch  |   Loss   |    mAP   |     Time     |
-------------------------------------------------------------------------------

| train | 300.0 |   0.0 |    2.026 |   0.000 |  1 min 27 sec |
| val   |  10.0 |   0.0 |    2.026 |   0.803 |  1 min 39 sec |
| train | 300.0 |   1.0 |    0.147 |   0.803 |  2 min 52 sec |
| val   |  10.0 |   1.0 |    0.147 |   0.847 |  2 min 57 sec |
| train | 300.0 |   2.0 |    0.063 |   0.847 |  4 min 10 sec |
| val   |  10.0 |   2.0 |    0.063 |   0.878 |  4 min 15 sec |
| train | 300.0 |   3.0 |    0.037 |   0.878 |  5 min 29 sec |
| val   |  10.0 |   3.0 |    0.037 |   0.886 |  5 min 34 sec |
| train | 300.0 |   4.0 |    0.026 |   0.886 |  6 min 48 sec |
| val   |  10.0 |   4.0 |    0.026 |   0.881 |  6 min 53 sec |
| train | 300.0 |   5.0 |    0.019 |   0.881 |  8 min 06 sec |
| val   |  10.0 |   5.0 |    0.019 |   0.880 |  8 min 11 sec |
| train | 300.0 |   6.0 |    0.015 |   0.880 |  9 min 24 sec |
| val   |  10.0 |   6.0 |    0.015 |   0.866 |  9 min 30 sec |
| train | 300.0 |   7.0 |    0.013 |   0.866 | 10 min 43 sec |
| val   |  10.0 |   7.0 |    0.013 |   0.876 | 10 min 48 sec |
| train | 300.0 |   8.0 |    0.013 |   0.876 | 12 min 02 sec |
| val   |  10.0 |   8.0 |    0.013 |   0.854 | 12 min 06 sec |
| train | 300.0 |   9.0 |    0.010 |   0.854 | 13 min 20 sec |
| val   |  10.0 |   9.0 |    0.010 |   0.863 | 13 min 25 sec |
| train | 300.0 |  10.0 |    0.011 |   0.863 | 14 min 38 sec |
| val   |  10.0 |  10.0 |    0.011 |   0.853 | 14 min 43 sec |
| train | 300.0 |  11.0 |    0.012 |   0.853 | 15 min 57 sec |
| val   |  10.0 |  11.0 |    0.012 |   0.811 | 16 min 02 sec |
| train | 300.0 |  12.0 |    0.023 |   0.811 | 17 min 15 sec |
| val   |  10.0 |  12.0 |    0.023 |   0.824 | 17 min 20 sec |
| train | 300.0 |  13.0 |    0.018 |   0.824 | 18 min 33 sec |
| val   |  10.0 |  13.0 |    0.018 |   0.823 | 18 min 39 sec |
| train | 300.0 |  14.0 |    0.008 |   0.823 | 19 min 52 sec |
| val   |  10.0 |  14.0 |    0.008 |   0.809 | 19 min 57 sec |
| train | 300.0 |  15.0 |    0.006 |   0.809 | 21 min 10 sec |
| val   |  10.0 |  15.0 |    0.006 |   0.757 | 21 min 16 sec |
| train | 300.0 |  16.0 |    0.045 |   0.757 | 22 min 29 sec |
| val   |  10.0 |  16.0 |    0.045 |   0.755 | 22 min 34 sec |
| train | 300.0 |  17.0 |    0.011 |   0.755 | 23 min 49 sec |
| val   |  10.0 |  17.0 |    0.011 |   0.778 | 23 min 54 sec |
| train | 300.0 |  18.0 |    0.004 |   0.778 | 25 min 08 sec |
| val   |  10.0 |  18.0 |    0.004 |   0.747 | 25 min 13 sec |
| train | 300.0 |  19.0 |    0.004 |   0.747 | 26 min 26 sec |
| val   |  10.0 |  19.0 |    0.004 |   0.715 | 26 min 31 sec |
