Student ID:6898979
Student name:SALAM JESUTOMIWA
UUID:3ac5b31a-24c3-49c4-81f7-4010bb2247a1
==========
Args:Namespace(model_mode='swin_base_patch4_window7_224', dataset_location='./EEEM066_Knife_Classification_dataset', train_datacsv='dataset/train.csv', test_datacsv='dataset/test.csv', saved_checkpoint_path='Knife-Effb0', n_classes=192, num_workers=8, seed=0, resized_img_weight=224, resized_img_height=224, evaluate_only=False, model_path=None, epochs=20, batch_size=32, brightness=0.2, contrast=0.2, saturation=0.2, hue=0.2, random_rotation=0, vertical_flip=0, horizontal_flip=0.5, random_erase=True, color_aug=False, optim='adam', learning_rate=0.0001, weight_decay=0.0005, momentum=0.9, sgd_dampening=0, sgd_nesterov=False, rmsprop_alpha=0.99, adam_beta1=0.9, adam_beta2=0.999, lr_scheduler='CosineAnnealingLR', stepsize=[20, 40], gamma=0.1)
==========
------------------------- [START 2024-11-27_11-28-23] -------------------------

                           |  Train   |   Valid  |              |
 | Mode  |  Iter  | Epoch  |   Loss   |    mAP   |     Time     |
-------------------------------------------------------------------------------

| train | 300.0 |   0.0 |    1.802 |   0.000 |  1 min 35 sec |
| val   |  10.0 |   0.0 |    1.802 |   0.874 |  2 min 04 sec |
| train | 300.0 |   1.0 |    0.228 |   0.874 |  3 min 44 sec |
| val   |  10.0 |   1.0 |    0.228 |   0.847 |  3 min 49 sec |
| train | 300.0 |   2.0 |    0.155 |   0.847 |  5 min 29 sec |
| val   |  10.0 |   2.0 |    0.155 |   0.875 |  5 min 35 sec |
| train | 300.0 |   3.0 |    0.112 |   0.875 |  7 min 15 sec |
| val   |  10.0 |   3.0 |    0.112 |   0.879 |  7 min 20 sec |
| train | 300.0 |   4.0 |    0.107 |   0.879 |  9 min 00 sec |
| val   |  10.0 |   4.0 |    0.107 |   0.856 |  9 min 05 sec |
| train | 300.0 |   5.0 |    0.092 |   0.856 | 10 min 45 sec |
| val   |  10.0 |   5.0 |    0.092 |   0.813 | 10 min 50 sec |
| train | 300.0 |   6.0 |    0.091 |   0.813 | 12 min 30 sec |
| val   |  10.0 |   6.0 |    0.091 |   0.849 | 12 min 35 sec |
| train | 300.0 |   7.0 |    0.088 |   0.849 | 14 min 15 sec |
| val   |  10.0 |   7.0 |    0.088 |   0.821 | 14 min 20 sec |
| train | 300.0 |   8.0 |    0.085 |   0.821 | 16 min 00 sec |
| val   |  10.0 |   8.0 |    0.085 |   0.810 | 16 min 05 sec |
| train | 300.0 |   9.0 |    0.078 |   0.810 | 17 min 45 sec |
| val   |  10.0 |   9.0 |    0.078 |   0.760 | 17 min 50 sec |
| train | 300.0 |  10.0 |    0.073 |   0.760 | 19 min 31 sec |
| val   |  10.0 |  10.0 |    0.073 |   0.797 | 19 min 36 sec |
| train | 300.0 |  11.0 |    0.077 |   0.797 | 21 min 16 sec |
| val   |  10.0 |  11.0 |    0.077 |   0.704 | 21 min 21 sec |
| train | 300.0 |  12.0 |    0.091 |   0.704 | 23 min 01 sec |
| val   |  10.0 |  12.0 |    0.091 |   0.729 | 23 min 06 sec |
| train | 300.0 |  13.0 |    0.081 |   0.729 | 24 min 46 sec |
| val   |  10.0 |  13.0 |    0.081 |   0.706 | 24 min 51 sec |
| train | 300.0 |  14.0 |    0.089 |   0.706 | 26 min 31 sec |
| val   |  10.0 |  14.0 |    0.089 |   0.627 | 26 min 36 sec |
| train | 300.0 |  15.0 |    0.082 |   0.627 | 28 min 16 sec |
| val   |  10.0 |  15.0 |    0.082 |   0.649 | 28 min 21 sec |
| train | 300.0 |  16.0 |    0.082 |   0.649 | 30 min 01 sec |
| val   |  10.0 |  16.0 |    0.082 |   0.648 | 30 min 06 sec |
| train | 300.0 |  17.0 |    0.082 |   0.648 | 31 min 46 sec |
| val   |  10.0 |  17.0 |    0.082 |   0.652 | 31 min 51 sec |
| train | 300.0 |  18.0 |    0.084 |   0.652 | 33 min 32 sec |
| val   |  10.0 |  18.0 |    0.084 |   0.604 | 33 min 37 sec |
| train | 300.0 |  19.0 |    0.090 |   0.604 | 35 min 17 sec |
| val   |  10.0 |  19.0 |    0.090 |   0.617 | 35 min 22 sec |
