Student ID:6898979
Student name:SALAM JESUTOMIWA
UUID:90cfa180-bd62-466f-9526-fd307f5a26ac
==========
Args:Namespace(model_mode='swin_base_patch4_window7_224', dataset_location='./EEEM066_Knife_Classification_dataset', train_datacsv='dataset/train.csv', test_datacsv='dataset/test.csv', saved_checkpoint_path='Knife-Effb0', n_classes=192, num_workers=8, seed=0, resized_img_weight=224, resized_img_height=224, evaluate_only=False, model_path=None, epochs=20, batch_size=32, brightness=0.2, contrast=0.2, saturation=0.2, hue=0.2, random_rotation=0, vertical_flip=0, horizontal_flip=0.5, random_erase=True, color_aug=False, optim='adam', learning_rate=0.0005, weight_decay=0.0005, momentum=0.9, sgd_dampening=0, sgd_nesterov=False, rmsprop_alpha=0.99, adam_beta1=0.9, adam_beta2=0.999, lr_scheduler='CosineAnnealingLR', stepsize=[20, 40], gamma=0.1)
==========
------------------------- [START 2024-11-27_12-09-08] -------------------------

                           |  Train   |   Valid  |              |
 | Mode  |  Iter  | Epoch  |   Loss   |    mAP   |     Time     |
-------------------------------------------------------------------------------

| train | 300.0 |   0.0 |    1.387 |   0.000 |  1 min 09 sec |
| val   |  10.0 |   0.0 |    1.387 |   0.688 |  1 min 14 sec |
| train | 300.0 |   1.0 |    0.347 |   0.688 |  2 min 54 sec |
| val   |  10.0 |   1.0 |    0.347 |   0.616 |  2 min 59 sec |
| train | 300.0 |   2.0 |    0.331 |   0.616 |  4 min 39 sec |
| val   |  10.0 |   2.0 |    0.331 |   0.574 |  4 min 44 sec |
| train | 300.0 |   3.0 |    0.271 |   0.574 |  6 min 24 sec |
| val   |  10.0 |   3.0 |    0.271 |   0.508 |  6 min 29 sec |
| train | 300.0 |   4.0 |    0.377 |   0.508 |  8 min 09 sec |
| val   |  10.0 |   4.0 |    0.377 |   0.497 |  8 min 14 sec |
| train | 300.0 |   5.0 |    0.300 |   0.497 |  9 min 54 sec |
| val   |  10.0 |   5.0 |    0.300 |   0.488 | 10 min 00 sec |
| train | 300.0 |   6.0 |    0.320 |   0.488 | 11 min 40 sec |
| val   |  10.0 |   6.0 |    0.320 |   0.497 | 11 min 45 sec |
| train | 300.0 |   7.0 |    0.333 |   0.497 | 13 min 25 sec |
| val   |  10.0 |   7.0 |    0.333 |   0.424 | 13 min 30 sec |
| train | 300.0 |   8.0 |    0.323 |   0.424 | 15 min 10 sec |
| val   |  10.0 |   8.0 |    0.323 |   0.497 | 15 min 15 sec |
| train | 300.0 |   9.0 |    0.302 |   0.497 | 16 min 55 sec |
| val   |  10.0 |   9.0 |    0.302 |   0.402 | 17 min 01 sec |
| train | 300.0 |  10.0 |    0.325 |   0.402 | 18 min 41 sec |
| val   |  10.0 |  10.0 |    0.325 |   0.420 | 18 min 46 sec |
| train | 300.0 |  11.0 |    0.311 |   0.420 | 20 min 26 sec |
| val   |  10.0 |  11.0 |    0.311 |   0.410 | 20 min 31 sec |
| train | 300.0 |  12.0 |    0.277 |   0.410 | 22 min 11 sec |
| val   |  10.0 |  12.0 |    0.277 |   0.446 | 22 min 16 sec |
| train | 300.0 |  13.0 |    0.283 |   0.446 | 23 min 56 sec |
| val   |  10.0 |  13.0 |    0.283 |   0.464 | 24 min 01 sec |
| train | 300.0 |  14.0 |    0.282 |   0.464 | 25 min 42 sec |
| val   |  10.0 |  14.0 |    0.282 |   0.426 | 25 min 47 sec |
| train | 300.0 |  15.0 |    0.284 |   0.426 | 27 min 27 sec |
| val   |  10.0 |  15.0 |    0.284 |   0.419 | 27 min 32 sec |
| train | 300.0 |  16.0 |    0.246 |   0.419 | 29 min 12 sec |
| val   |  10.0 |  16.0 |    0.246 |   0.388 | 29 min 17 sec |
| train | 300.0 |  17.0 |    0.258 |   0.388 | 30 min 57 sec |
| val   |  10.0 |  17.0 |    0.258 |   0.389 | 31 min 03 sec |
| train | 300.0 |  18.0 |    0.243 |   0.389 | 32 min 43 sec |
| val   |  10.0 |  18.0 |    0.243 |   0.420 | 32 min 48 sec |
| train | 300.0 |  19.0 |    0.253 |   0.420 | 34 min 29 sec |
| val   |  10.0 |  19.0 |    0.253 |   0.435 | 34 min 34 sec |
