Student ID:6898979
Student name:SALAM JESUTOMIWA
UUID:e085cb34-c080-44bf-978b-866ebd780e53
==========
Args:Namespace(model_mode='swin_base_patch4_window7_224', dataset_location='./EEEM066_Knife_Classification_dataset', train_datacsv='dataset/train.csv', test_datacsv='dataset/test.csv', saved_checkpoint_path='Knife-Effb0', n_classes=192, num_workers=8, seed=0, resized_img_weight=224, resized_img_height=224, evaluate_only=False, model_path=None, epochs=20, batch_size=32, brightness=0.2, contrast=0.2, saturation=0.2, hue=0.2, random_rotation=0, vertical_flip=0, horizontal_flip=0.5, random_erase=True, color_aug=False, optim='adam', learning_rate=1e-05, weight_decay=0.0005, momentum=0.9, sgd_dampening=0, sgd_nesterov=False, rmsprop_alpha=0.99, adam_beta1=0.9, adam_beta2=0.999, lr_scheduler='CosineAnnealingLR', stepsize=[20, 40], gamma=0.1)
==========
------------------------- [START 2024-11-27_12-49-27] -------------------------

                           |  Train   |   Valid  |              |
 | Mode  |  Iter  | Epoch  |   Loss   |    mAP   |     Time     |
-------------------------------------------------------------------------------

| train | 300.0 |   0.0 |    4.762 |   0.000 |  1 min 09 sec |
| val   |  10.0 |   0.0 |    4.762 |   0.266 |  1 min 14 sec |
| train | 300.0 |   1.0 |    2.512 |   0.266 |  2 min 54 sec |
| val   |  10.0 |   1.0 |    2.512 |   0.616 |  2 min 59 sec |
| train | 300.0 |   2.0 |    1.245 |   0.616 |  4 min 40 sec |
| val   |  10.0 |   2.0 |    1.245 |   0.737 |  4 min 45 sec |
| train | 300.0 |   3.0 |    0.755 |   0.737 |  6 min 25 sec |
| val   |  10.0 |   3.0 |    0.755 |   0.787 |  6 min 30 sec |
| train | 300.0 |   4.0 |    0.557 |   0.787 |  8 min 10 sec |
| val   |  10.0 |   4.0 |    0.557 |   0.795 |  8 min 15 sec |
| train | 300.0 |   5.0 |    0.420 |   0.795 |  9 min 55 sec |
| val   |  10.0 |   5.0 |    0.420 |   0.811 | 10 min 00 sec |
| train | 300.0 |   6.0 |    0.356 |   0.811 | 11 min 41 sec |
| val   |  10.0 |   6.0 |    0.356 |   0.811 | 11 min 46 sec |
| train | 300.0 |   7.0 |    0.319 |   0.811 | 13 min 26 sec |
| val   |  10.0 |   7.0 |    0.319 |   0.822 | 13 min 31 sec |
| train | 300.0 |   8.0 |    0.267 |   0.822 | 15 min 11 sec |
| val   |  10.0 |   8.0 |    0.267 |   0.837 | 15 min 16 sec |
| train | 300.0 |   9.0 |    0.236 |   0.837 | 16 min 57 sec |
| val   |  10.0 |   9.0 |    0.236 |   0.838 | 17 min 01 sec |
| train | 300.0 |  10.0 |    0.207 |   0.838 | 18 min 42 sec |
| val   |  10.0 |  10.0 |    0.207 |   0.846 | 18 min 47 sec |
| train | 300.0 |  11.0 |    0.175 |   0.846 | 20 min 27 sec |
| val   |  10.0 |  11.0 |    0.175 |   0.849 | 20 min 32 sec |
| train | 300.0 |  12.0 |    0.177 |   0.849 | 22 min 12 sec |
| val   |  10.0 |  12.0 |    0.177 |   0.846 | 22 min 18 sec |
| train | 300.0 |  13.0 |    0.138 |   0.846 | 23 min 58 sec |
| val   |  10.0 |  13.0 |    0.138 |   0.857 | 24 min 03 sec |
| train | 300.0 |  14.0 |    0.138 |   0.857 | 25 min 43 sec |
| val   |  10.0 |  14.0 |    0.138 |   0.862 | 25 min 48 sec |
| train | 300.0 |  15.0 |    0.123 |   0.862 | 27 min 28 sec |
| val   |  10.0 |  15.0 |    0.123 |   0.862 | 27 min 33 sec |
| train | 300.0 |  16.0 |    0.119 |   0.862 | 29 min 14 sec |
| val   |  10.0 |  16.0 |    0.119 |   0.868 | 29 min 19 sec |
| train | 300.0 |  17.0 |    0.104 |   0.868 | 31 min 00 sec |
| val   |  10.0 |  17.0 |    0.104 |   0.878 | 31 min 05 sec |
| train | 300.0 |  18.0 |    0.101 |   0.878 | 32 min 45 sec |
| val   |  10.0 |  18.0 |    0.101 |   0.868 | 32 min 50 sec |
| train | 300.0 |  19.0 |    0.091 |   0.868 | 34 min 30 sec |
| val   |  10.0 |  19.0 |    0.091 |   0.864 | 34 min 35 sec |
