Student ID:6898979
Student name:SALAM JESUTOMIWA
UUID:68547c1d-f165-43e8-bbf9-3a4400143c3e
==========
Args:Namespace(model_mode='swin_base_patch4_window7_224', dataset_location='./EEEM066_Knife_Classification_dataset', train_datacsv='dataset/train.csv', test_datacsv='dataset/test.csv', saved_checkpoint_path='Knife-Effb0', n_classes=192, num_workers=8, seed=0, resized_img_weight=224, resized_img_height=224, evaluate_only=False, model_path=None, epochs=20, batch_size=16, brightness=0.2, contrast=0.2, saturation=0.2, hue=0.2, random_rotation=0, vertical_flip=0, horizontal_flip=0.5, random_erase=True, color_aug=False, optim='adam', learning_rate=5e-05, weight_decay=0.0005, momentum=0.9, sgd_dampening=0, sgd_nesterov=False, rmsprop_alpha=0.99, adam_beta1=0.9, adam_beta2=0.999, lr_scheduler='CosineAnnealingLR', stepsize=[20, 40], gamma=0.1)
==========
------------------------- [START 2024-11-27_15-35-39] -------------------------

                           |  Train   |   Valid  |              |
 | Mode  |  Iter  | Epoch  |   Loss   |    mAP   |     Time     |
-------------------------------------------------------------------------------

| train | 601.0 |   0.0 |    1.891 |   0.000 |  1 min 21 sec |
| val   |  21.0 |   0.0 |    1.891 |   0.841 |  1 min 25 sec |
| train | 601.0 |   1.0 |    0.267 |   0.841 |  3 min 16 sec |
| val   |  21.0 |   1.0 |    0.267 |   0.868 |  3 min 19 sec |
| train | 601.0 |   2.0 |    0.183 |   0.868 |  5 min 10 sec |
| val   |  21.0 |   2.0 |    0.183 |   0.852 |  5 min 14 sec |
| train | 601.0 |   3.0 |    0.127 |   0.852 |  7 min 04 sec |
| val   |  21.0 |   3.0 |    0.127 |   0.864 |  7 min 08 sec |
| train | 601.0 |   4.0 |    0.114 |   0.864 |  8 min 59 sec |
| val   |  21.0 |   4.0 |    0.114 |   0.840 |  9 min 03 sec |
| train | 601.0 |   5.0 |    0.094 |   0.840 | 10 min 54 sec |
| val   |  21.0 |   5.0 |    0.094 |   0.824 | 10 min 58 sec |
| train | 601.0 |   6.0 |    0.087 |   0.824 | 12 min 48 sec |
| val   |  21.0 |   6.0 |    0.087 |   0.835 | 12 min 52 sec |
| train | 601.0 |   7.0 |    0.090 |   0.835 | 14 min 43 sec |
| val   |  21.0 |   7.0 |    0.090 |   0.847 | 14 min 47 sec |
| train | 601.0 |   8.0 |    0.080 |   0.847 | 16 min 37 sec |
| val   |  21.0 |   8.0 |    0.080 |   0.806 | 16 min 41 sec |
| train | 601.0 |   9.0 |    0.071 |   0.806 | 18 min 32 sec |
| val   |  21.0 |   9.0 |    0.071 |   0.813 | 18 min 36 sec |
| train | 601.0 |  10.0 |    0.069 |   0.813 | 20 min 26 sec |
| val   |  21.0 |  10.0 |    0.069 |   0.779 | 20 min 30 sec |
| train | 601.0 |  11.0 |    0.073 |   0.779 | 22 min 21 sec |
| val   |  21.0 |  11.0 |    0.073 |   0.774 | 22 min 24 sec |
| train | 601.0 |  12.0 |    0.070 |   0.774 | 24 min 15 sec |
| val   |  21.0 |  12.0 |    0.070 |   0.757 | 24 min 19 sec |
| train | 601.0 |  13.0 |    0.068 |   0.757 | 26 min 10 sec |
| val   |  21.0 |  13.0 |    0.068 |   0.734 | 26 min 13 sec |
| train | 601.0 |  14.0 |    0.068 |   0.734 | 28 min 06 sec |
| val   |  21.0 |  14.0 |    0.068 |   0.749 | 28 min 09 sec |
| train | 601.0 |  15.0 |    0.063 |   0.749 | 30 min 00 sec |
| val   |  21.0 |  15.0 |    0.063 |   0.695 | 30 min 04 sec |
| train | 601.0 |  16.0 |    0.075 |   0.695 | 31 min 54 sec |
| val   |  21.0 |  16.0 |    0.075 |   0.708 | 31 min 58 sec |
| train | 601.0 |  17.0 |    0.058 |   0.708 | 33 min 49 sec |
| val   |  21.0 |  17.0 |    0.058 |   0.687 | 33 min 53 sec |
| train | 601.0 |  18.0 |    0.070 |   0.687 | 35 min 43 sec |
| val   |  21.0 |  18.0 |    0.070 |   0.708 | 35 min 47 sec |
| train | 601.0 |  19.0 |    0.065 |   0.708 | 37 min 38 sec |
| val   |  21.0 |  19.0 |    0.065 |   0.698 | 37 min 42 sec |
